ts_ns,event,side,price,qty
1714000000750000000,level,B,100.00,180
1714000000750000000,level,S,100.04,270
1714000000750000000,level,B,99.99,230
1714000000750000000,level,S,100.05,250
1714000000750000000,level,B,99.98,150
1714000000750000000,level,S,100.06,100
1714000000750000000,level,B,99.97,60
1714000000750000000,level,S,100.07,120
1714000000800000000,clear,,,
1714000000800000000,level,B,100.00,10
1714000000800000000,level,S,100.02,320
1714000000800000000,level,B,99.99,380
1714000000800000000,level,S,100.03,120
1714000000800000000,level,B,99.98,170
1714000000800000000,level,S,100.04,190
1714000000800000000,level,B,99.97,10
1714000000800000000,level,S,100.05,100
1714000000800000000,level,B,99.96,270
1714000000800000000,level,S,100.06,350
1714000000850000000,trade,S,100.00,90
1714000000900000000,trade,B,100.02,90
1714000000950000000,trade,S,100.00,70
1714000001000000000,clear,,,
1714000001000000000,level,B,99.99,140
1714000001000000000,level,S,100.01,290
1714000001000000000,level,B,99.98,110
1714000001000000000,level,S,100.02,80
1714000001000000000,level,B,99.97,220
1714000001000000000,level,S,100.03,390
1714000001000000000,level,B,99.96,40
1714000001000000000,level,S,100.04,70
1714000001000000000,level,B,99.95,10
1714000001000000000,level,S,100.05,370
1714000001050000000,clear,,,
1714000001050000000,level,B,99.98,240
1714000001050000000,level,S,100.00,400
1714000001050000000,level,B,99.97,20
1714000001050000000,level,S,100.01,50
1714000001050000000,level,B,99.96,140
1714000001050000000,level,S,100.02,400
1714000001050000000,level,B,99.95,250
1714000001050000000,level,S,100.03,100
1714000001050000000,level,B,99.94,170
1714000001050000000,level,S,100.04,230
1714000001100000000,trade,S,99.97,80
1714000001150000000,trade,S,99.97,60
1714000001200000000,trade,S,99.98,10
1714000001250000000,clear,,,
1714000001250000000,level,B,99.99,100
1714000001250000000,level,S,100.01,350
1714000001250000000,level,B,99.98,20
1714000001250000000,level,S,100.02,340
1714000001250000000,level,B,99.97,200
1714000001250000000,level,S,100.03,60
1714000001250000000,level,B,99.96,170
1714000001250000000,level,S,100.04,340
1714000001250000000,level,B,99.95,240
1714000001250000000,level,S,100.05,110
1714000001300000000,trade,B,100.01,60
1714000001350000000,trade,B,100.01,40
1714000001400000000,clear,,,
1714000001400000000,level,B,100.00,230
1714000001400000000,level,S,100.02,20
1714000001400000000,level,B,99.99,20
1714000001400000000,level,S,100.03,180
1714000001400000000,level,B,99.98,310
1714000001400000000,level,S,100.04,170
1714000001400000000,level,B,99.97,130
1714000001400000000,level,S,100.05,390
1714000001400000000,level,B,99.96,230
1714000001400000000,level,S,100.06,290
1714000001450000000,trade,S,100.00,40
1714000001500000000,clear,,,
1714000001500000000,level,B,100.01,130
1714000001500000000,level,S,100.03,220
1714000001500000000,level,B,100.00,140
1714000001500000000,level,S,100.04,310
1714000001500000000,level,B,99.99,400
1714000001500000000,level,S,100.05,400
1714000001500000000,level,B,99.98,10
1714000001500000000,level,S,100.06,310
1714000001500000000,level,B,99.97,230
1714000001500000000,level,S,100.07,60
1714000001550000000,trade,B,100.03,40
1714000001600000000,trade,B,100.03,20
1714000001650000000,trade,S,100.01,20
1714000001700000000,trade,B,100.04,100
1714000001750000000,trade,B,100.03,80
1714000001800000000,trade,S,100.00,10
1714000001850000000,clear,,,
1714000001850000000,level,B,100.00,340
1714000001850000000,level,S,100.02,90
1714000001850000000,level,B,99.99,280
1714000001850000000,level,S,100.03,130
1714000001850000000,level,B,99.98,140
1714000001850000000,level,S,100.04,20
1714000001850000000,level,B,99.97,170
1714000001850000000,level,S,100.05,140
1714000001850000000,level,B,99.96,190
1714000001850000000,level,S,100.06,330
1714000001900000000,clear,,,
1714000001900000000,level,B,100.01,170
1714000001900000000,level,S,100.03,350
1714000001900000000,level,B,100.00,270
1714000001900000000,level,S,100.04,90
1714000001900000000,level,B,99.99,40
1714000001900000000,level,S,100.05,230
1714000001900000000,level,B,99.98,300
1714000001900000000,level,S,100.06,380
1714000001900000000,level,B,99.97,340
1714000001900000000,level,S,100.07,270
1714000001950000000,trade,B,100.03,10
1714000002000000000,trade,B,100.03,30
1714000002050000000,clear,,,
1714000002050000000,level,B,100.02,400
1714000002050000000,level,S,100.04,80
1714000002050000000,level,B,100.01,360
1714000002050000000,level,S,100.05,40
1714000002050000000,level,B,100.00,210
1714000002050000000,level,S,100.06,340
1714000002050000000,level,B,99.99,340
1714000002050000000,level,S,100.07,360
1714000002050000000,level,B,99.98,310
1714000002050000000,level,S,100.08,70
1714000002100000000,trade,B,100.05,20
1714000002150000000,trade,B,100.04,80
1714000002200000000,trade,B,100.04,90
1714000002250000000,trade,B,100.04,50
1714000002300000000,trade,B,100.04,20
1714000002350000000,trade,S,100.01,20
1714000002400000000,clear,,,
1714000002400000000,level,B,100.03,80
1714000002400000000,level,S,100.05,100
1714000002400000000,level,B,100.02,240
1714000002400000000,level,S,100.06,100
1714000002400000000,level,B,100.01,170
1714000002400000000,level,S,100.07,90
1714000002400000000,level,B,100.00,300
1714000002400000000,level,S,100.08,150
1714000002400000000,level,B,99.99,70
1714000002400000000,level,S,100.09,260
1714000002450000000,trade,B,100.05,30
1714000002500000000,trade,S,100.03,60
1714000002550000000,clear,,,
1714000002550000000,level,B,100.04,20
1714000002550000000,level,S,100.06,220
1714000002550000000,level,B,100.03,360
1714000002550000000,level,S,100.07,300
1714000002550000000,level,B,100.02,290
1714000002550000000,level,S,100.08,20
1714000002550000000,level,B,100.01,250
1714000002550000000,level,S,100.09,220
1714000002550000000,level,B,100.00,340
1714000002550000000,level,S,100.10,400
1714000002600000000,clear,,,
1714000002600000000,level,B,100.03,80
1714000002600000000,level,S,100.05,150
1714000002600000000,level,B,100.02,70
1714000002600000000,level,S,100.06,60
1714000002600000000,level,B,100.01,170
1714000002600000000,level,S,100.07,180
1714000002600000000,level,B,100.00,30
1714000002600000000,level,S,100.08,120
1714000002600000000,level,B,99.99,180
1714000002600000000,level,S,100.09,90
1714000002650000000,trade,S,100.03,90
1714000002700000000,trade,S,100.01,30
1714000002750000000,trade,B,100.06,20
1714000002800000000,trade,B,100.05,50
1714000002850000000,trade,S,100.02,70
1714000002900000000,trade,S,100.02,40
1714000002950000000,trade,B,100.05,50
1714000003000000000,trade,B,100.05,30
1714000003050000000,clear,,,
1714000003050000000,level,B,100.02,170
1714000003050000000,level,S,100.04,30
1714000003050000000,level,B,100.01,10
1714000003050000000,level,S,100.05,20
1714000003050000000,level,B,100.00,330
1714000003050000000,level,S,100.06,360
1714000003050000000,level,B,99.99,130
1714000003050000000,level,S,100.07,330
1714000003050000000,level,B,99.98,310
1714000003050000000,level,S,100.08,160
1714000003100000000,trade,B,100.04,80
1714000003150000000,trade,S,100.02,40
1714000003200000000,trade,S,100.01,30
1714000003250000000,trade,S,100.02,10
1714000003300000000,clear,,,
1714000003300000000,level,B,100.03,280
1714000003300000000,level,S,100.05,110
1714000003300000000,level,B,100.02,40
1714000003300000000,level,S,100.06,60
1714000003300000000,level,B,100.01,250
1714000003300000000,level,S,100.07,330
1714000003300000000,level,B,100.00,190
1714000003300000000,level,S,100.08,390
1714000003300000000,level,B,99.99,160
1714000003300000000,level,S,100.09,190
1714000003350000000,clear,,,
1714000003350000000,level,B,100.02,110
1714000003350000000,level,S,100.04,180
1714000003350000000,level,B,100.01,290
1714000003350000000,level,S,100.05,10
1714000003350000000,level,B,100.00,170
1714000003350000000,level,S,100.06,240
1714000003350000000,level,B,99.99,220
1714000003350000000,level,S,100.07,360
1714000003350000000,level,B,99.98,210
1714000003350000000,level,S,100.08,160
1714000003400000000,clear,,,
1714000003400000000,level,B,100.03,140
1714000003400000000,level,S,100.05,230
1714000003400000000,level,B,100.02,120
1714000003400000000,level,S,100.06,10
1714000003400000000,level,B,100.01,220
1714000003400000000,level,S,100.07,250
1714000003400000000,level,B,100.00,60
1714000003400000000,level,S,100.08,310
1714000003400000000,level,B,99.99,180
1714000003400000000,level,S,100.09,330
1714000003450000000,trade,B,100.06,50
1714000003500000000,trade,B,100.06,10
1714000003550000000,clear,,,
1714000003550000000,level,B,100.02,60
1714000003550000000,level,S,100.04,380
1714000003550000000,level,B,100.01,340
1714000003550000000,level,S,100.05,100
1714000003550000000,level,B,100.00,390
1714000003550000000,level,S,100.06,250
1714000003550000000,level,B,99.99,210
1714000003550000000,level,S,100.07,320
1714000003550000000,level,B,99.98,100
1714000003550000000,level,S,100.08,190
1714000003600000000,trade,B,100.05,90
1714000003650000000,trade,B,100.04,100
1714000003700000000,trade,B,100.04,40
1714000003750000000,clear,,,
1714000003750000000,level,B,100.01,90
1714000003750000000,level,S,100.03,240
1714000003750000000,level,B,100.00,70
1714000003750000000,level,S,100.04,250
1714000003750000000,level,B,99.99,290
1714000003750000000,level,S,100.05,360
1714000003750000000,level,B,99.98,40
1714000003750000000,level,S,100.06,20
1714000003750000000,level,B,99.97,350
1714000003750000000,level,S,100.07,160
1714000003800000000,trade,B,100.04,90
1714000003850000000,trade,B,100.04,80
1714000003900000000,clear,,,
1714000003900000000,level,B,100.00,170
1714000003900000000,level,S,100.02,160
1714000003900000000,level,B,99.99,140
1714000003900000000,level,S,100.03,150
1714000003900000000,level,B,99.98,300
1714000003900000000,level,S,100.04,320
1714000003900000000,level,B,99.97,250
1714000003900000000,level,S,100.05,50
1714000003900000000,level,B,99.96,310
1714000003900000000,level,S,100.06,190
1714000003950000000,trade,B,100.03,50
1714000004000000000,trade,S,100.00,80
1714000004050000000,clear,,,
1714000004050000000,level,B,100.01,70
1714000004050000000,level,S,100.03,140
1714000004050000000,level,B,100.00,320
1714000004050000000,level,S,100.04,190
1714000004050000000,level,B,99.99,340
1714000004050000000,level,S,100.05,190
1714000004050000000,level,B,99.98,300
1714000004050000000,level,S,100.06,300
1714000004050000000,level,B,99.97,300
1714000004050000000,level,S,100.07,80
1714000004100000000,trade,B,100.03,80
1714000004150000000,clear,,,
1714000004150000000,level,B,100.02,50
1714000004150000000,level,S,100.04,330
1714000004150000000,level,B,100.01,290
1714000004150000000,level,S,100.05,180
1714000004150000000,level,B,100.00,250
1714000004150000000,level,S,100.06,140
1714000004150000000,level,B,99.99,140
1714000004150000000,level,S,100.07,50
1714000004150000000,level,B,99.98,380
1714000004150000000,level,S,100.08,60
1714000004200000000,clear,,,
1714000004200000000,level,B,100.03,240
1714000004200000000,level,S,100.05,90
1714000004200000000,level,B,100.02,390
1714000004200000000,level,S,100.06,330
1714000004200000000,level,B,100.01,180
1714000004200000000,level,S,100.07,80
1714000004200000000,level,B,100.00,240
1714000004200000000,level,S,100.08,150
1714000004200000000,level,B,99.99,320
1714000004200000000,level,S,100.09,320
1714000004250000000,trade,B,100.06,80
1714000004300000000,trade,B,100.05,20
1714000004350000000,trade,B,100.05,70
1714000004400000000,clear,,,
1714000004400000000,level,B,100.02,10
1714000004400000000,level,S,100.04,190
1714000004400000000,level,B,100.01,170
1714000004400000000,level,S,100.05,240
1714000004400000000,level,B,100.00,50
1714000004400000000,level,S,100.06,260
1714000004400000000,level,B,99.99,250
1714000004400000000,level,S,100.07,380
1714000004400000000,level,B,99.98,50
1714000004400000000,level,S,100.08,240
1714000004450000000,trade,S,100.02,10
1714000004500000000,trade,S,100.02,50
1714000004550000000,trade,S,100.01,70
1714000004600000000,trade,S,100.02,90
1714000004650000000,clear,,,
1714000004650000000,level,B,100.01,40
1714000004650000000,level,S,100.03,270
1714000004650000000,level,B,100.00,290
1714000004650000000,level,S,100.04,400
1714000004650000000,level,B,99.99,90
1714000004650000000,level,S,100.05,190
1714000004650000000,level,B,99.98,320
1714000004650000000,level,S,100.06,40
1714000004650000000,level,B,99.97,360
1714000004650000000,level,S,100.07,90
1714000004700000000,clear,,,
1714000004700000000,level,B,100.02,220
1714000004700000000,level,S,100.04,190
1714000004700000000,level,B,100.01,200
1714000004700000000,level,S,100.05,170
1714000004700000000,level,B,100.00,170
1714000004700000000,level,S,100.06,260
1714000004700000000,level,B,99.99,160
1714000004700000000,level,S,100.07,200
1714000004700000000,level,B,99.98,310
1714000004700000000,level,S,100.08,360
1714000004750000000,trade,B,100.05,40
1714000004800000000,trade,S,100.02,60
1714000004850000000,trade,S,100.02,40
1714000004900000000,clear,,,
1714000004900000000,level,B,100.03,360
1714000004900000000,level,S,100.05,60
1714000004900000000,level,B,100.02,210
1714000004900000000,level,S,100.06,160
1714000004900000000,level,B,100.01,240
1714000004900000000,level,S,100.07,170
1714000004900000000,level,B,100.00,370
1714000004900000000,level,S,100.08,130
1714000004900000000,level,B,99.99,20
1714000004900000000,level,S,100.09,270
1714000004950000000,trade,B,100.05,10
1714000005000000000,trade,S,100.02,40
1714000005050000000,clear,,,
1714000005050000000,level,B,100.02,250
1714000005050000000,level,S,100.04,260
1714000005050000000,level,B,100.01,290
1714000005050000000,level,S,100.05,280
1714000005050000000,level,B,100.00,200
1714000005050000000,level,S,100.06,20
1714000005050000000,level,B,99.99,90
1714000005050000000,level,S,100.07,30
1714000005050000000,level,B,99.98,280
1714000005050000000,level,S,100.08,310
1714000005100000000,trade,S,100.01,90
1714000005150000000,trade,S,100.01,30
1714000005200000000,clear,,,
1714000005200000000,level,B,100.01,300
1714000005200000000,level,S,100.03,60
1714000005200000000,level,B,100.00,360
1714000005200000000,level,S,100.04,30
1714000005200000000,level,B,99.99,10
1714000005200000000,level,S,100.05,90
1714000005200000000,level,B,99.98,150
1714000005200000000,level,S,100.06,370
1714000005200000000,level,B,99.97,30
1714000005200000000,level,S,100.07,200
1714000005250000000,trade,S,100.01,20
1714000005300000000,clear,,,
1714000005300000000,level,B,100.02,340
1714000005300000000,level,S,100.04,380
1714000005300000000,level,B,100.01,130
1714000005300000000,level,S,100.05,250
1714000005300000000,level,B,100.00,170
1714000005300000000,level,S,100.06,150
1714000005300000000,level,B,99.99,390
1714000005300000000,level,S,100.07,10
1714000005300000000,level,B,99.98,10
1714000005300000000,level,S,100.08,350
1714000005350000000,trade,S,100.02,40
1714000005400000000,trade,B,100.05,70
1714000005450000000,trade,S,100.01,70
1714000005500000000,clear,,,
1714000005500000000,level,B,100.01,280
1714000005500000000,level,S,100.03,240
1714000005500000000,level,B,100.00,150
1714000005500000000,level,S,100.04,320
1714000005500000000,level,B,99.99,30
1714000005500000000,level,S,100.05,220
1714000005500000000,level,B,99.98,270
1714000005500000000,level,S,100.06,240
1714000005500000000,level,B,99.97,260
1714000005500000000,level,S,100.07,130
1714000005550000000,clear,,,
1714000005550000000,level,B,100.02,330
1714000005550000000,level,S,100.04,50
1714000005550000000,level,B,100.01,140
1714000005550000000,level,S,100.05,320
1714000005550000000,level,B,100.00,130
1714000005550000000,level,S,100.06,200
1714000005550000000,level,B,99.99,130
1714000005550000000,level,S,100.07,150
1714000005550000000,level,B,99.98,300
1714000005550000000,level,S,100.08,150
1714000005600000000,clear,,,
1714000005600000000,level,B,100.03,70
1714000005600000000,level,S,100.05,400
1714000005600000000,level,B,100.02,320
1714000005600000000,level,S,100.06,400
1714000005600000000,level,B,100.01,120
1714000005600000000,level,S,100.07,150
1714000005600000000,level,B,100.00,320
1714000005600000000,level,S,100.08,270
1714000005600000000,level,B,99.99,40
1714000005600000000,level,S,100.09,390
1714000005650000000,clear,,,
1714000005650000000,level,B,100.04,40
1714000005650000000,level,S,100.06,140
1714000005650000000,level,B,100.03,20
1714000005650000000,level,S,100.07,390
1714000005650000000,level,B,100.02,100
1714000005650000000,level,S,100.08,270
1714000005650000000,level,B,100.01,40
1714000005650000000,level,S,100.09,40
1714000005650000000,level,B,100.00,120
1714000005650000000,level,S,100.10,260
1714000005700000000,trade,S,100.04,30
1714000005750000000,trade,B,100.06,80
1714000005800000000,clear,,,
1714000005800000000,level,B,100.05,240
1714000005800000000,level,S,100.07,220
1714000005800000000,level,B,100.04,290
1714000005800000000,level,S,100.08,110
1714000005800000000,level,B,100.03,70
1714000005800000000,level,S,100.09,10
1714000005800000000,level,B,100.02,60
1714000005800000000,level,S,100.10,180
1714000005800000000,level,B,100.01,60
1714000005800000000,level,S,100.11,230
1714000005850000000,trade,B,100.07,70
1714000005900000000,trade,S,100.05,10
1714000005950000000,trade,B,100.07,40
1714000006000000000,trade,S,100.04,70
1714000006050000000,clear,,,
1714000006050000000,level,B,100.04,300
1714000006050000000,level,S,100.06,50
1714000006050000000,level,B,100.03,40
1714000006050000000,level,S,100.07,170
1714000006050000000,level,B,100.02,130
1714000006050000000,level,S,100.08,50
1714000006050000000,level,B,100.01,390
1714000006050000000,level,S,100.09,220
1714000006050000000,level,B,100.00,240
1714000006050000000,level,S,100.10,180
1714000006100000000,trade,B,100.06,60
1714000006150000000,trade,S,100.03,20
1714000006200000000,clear,,,
1714000006200000000,level,B,100.03,70
1714000006200000000,level,S,100.05,310
1714000006200000000,level,B,100.02,300
1714000006200000000,level,S,100.06,250
1714000006200000000,level,B,100.01,170
1714000006200000000,level,S,100.07,280
1714000006200000000,level,B,100.00,320
1714000006200000000,level,S,100.08,90
1714000006200000000,level,B,99.99,320
1714000006200000000,level,S,100.09,120
1714000006250000000,clear,,,
1714000006250000000,level,B,100.04,100
1714000006250000000,level,S,100.06,390
1714000006250000000,level,B,100.03,160
1714000006250000000,level,S,100.07,210
1714000006250000000,level,B,100.02,210
1714000006250000000,level,S,100.08,300
1714000006250000000,level,B,100.01,240
1714000006250000000,level,S,100.09,390
1714000006250000000,level,B,100.00,60
1714000006250000000,level,S,100.10,330
1714000006300000000,clear,,,
1714000006300000000,level,B,100.03,160
1714000006300000000,level,S,100.05,270
1714000006300000000,level,B,100.02,50
1714000006300000000,level,S,100.06,30
1714000006300000000,level,B,100.01,310
1714000006300000000,level,S,100.07,360
1714000006300000000,level,B,100.00,350
1714000006300000000,level,S,100.08,210
1714000006300000000,level,B,99.99,110
1714000006300000000,level,S,100.09,280
1714000006350000000,trade,B,100.05,20
1714000006400000000,trade,S,100.02,80
1714000006450000000,trade,B,100.05,20
1714000006500000000,trade,S,100.03,60
1714000006550000000,clear,,,
1714000006550000000,level,B,100.04,130
1714000006550000000,level,S,100.06,290
1714000006550000000,level,B,100.03,160
1714000006550000000,level,S,100.07,120
1714000006550000000,level,B,100.02,160
1714000006550000000,level,S,100.08,160
1714000006550000000,level,B,100.01,100
1714000006550000000,level,S,100.09,190
1714000006550000000,level,B,100.00,380
1714000006550000000,level,S,100.10,130
1714000006600000000,trade,S,100.04,90
1714000006650000000,clear,,,
1714000006650000000,level,B,100.03,300
1714000006650000000,level,S,100.05,30
1714000006650000000,level,B,100.02,70
1714000006650000000,level,S,100.06,10
1714000006650000000,level,B,100.01,310
1714000006650000000,level,S,100.07,150
1714000006650000000,level,B,100.00,290
1714000006650000000,level,S,100.08,240
1714000006650000000,level,B,99.99,30
1714000006650000000,level,S,100.09,190
1714000006700000000,clear,,,
1714000006700000000,level,B,100.02,130
1714000006700000000,level,S,100.04,390
1714000006700000000,level,B,100.01,380
1714000006700000000,level,S,100.05,130
1714000006700000000,level,B,100.00,50
1714000006700000000,level,S,100.06,240
1714000006700000000,level,B,99.99,330
1714000006700000000,level,S,100.07,120
1714000006700000000,level,B,99.98,290
1714000006700000000,level,S,100.08,390
1714000006750000000,clear,,,
1714000006750000000,level,B,100.01,70
1714000006750000000,level,S,100.03,390
1714000006750000000,level,B,100.00,400
1714000006750000000,level,S,100.04,230
1714000006750000000,level,B,99.99,140
1714000006750000000,level,S,100.05,30
1714000006750000000,level,B,99.98,240
1714000006750000000,level,S,100.06,220
1714000006750000000,level,B,99.97,100
1714000006750000000,level,S,100.07,30
1714000006800000000,clear,,,
1714000006800000000,level,B,100.02,30
1714000006800000000,level,S,100.04,390
1714000006800000000,level,B,100.01,140
1714000006800000000,level,S,100.05,10
1714000006800000000,level,B,100.00,210
1714000006800000000,level,S,100.06,270
1714000006800000000,level,B,99.99,240
1714000006800000000,level,S,100.07,120
1714000006800000000,level,B,99.98,400
1714000006800000000,level,S,100.08,200
1714000006850000000,clear,,,
1714000006850000000,level,B,100.01,320
1714000006850000000,level,S,100.03,360
1714000006850000000,level,B,100.00,310
1714000006850000000,level,S,100.04,50
1714000006850000000,level,B,99.99,270
1714000006850000000,level,S,100.05,70
1714000006850000000,level,B,99.98,260
1714000006850000000,level,S,100.06,360
1714000006850000000,level,B,99.97,100
1714000006850000000,level,S,100.07,350
1714000006900000000,clear,,,
1714000006900000000,level,B,100.00,260
1714000006900000000,level,S,100.02,180
1714000006900000000,level,B,99.99,270
1714000006900000000,level,S,100.03,190
1714000006900000000,level,B,99.98,200
1714000006900000000,level,S,100.04,270
1714000006900000000,level,B,99.97,40
1714000006900000000,level,S,100.05,200
1714000006900000000,level,B,99.96,370
1714000006900000000,level,S,100.06,230
1714000006950000000,trade,B,100.02,60
1714000007000000000,trade,S,100.00,10
1714000007050000000,trade,B,100.02,70
1714000007100000000,trade,S,100.00,10
1714000007150000000,clear,,,
1714000007150000000,level,B,99.99,260
1714000007150000000,level,S,100.01,60
1714000007150000000,level,B,99.98,370
1714000007150000000,level,S,100.02,400
1714000007150000000,level,B,99.97,240
1714000007150000000,level,S,100.03,330
1714000007150000000,level,B,99.96,110
1714000007150000000,level,S,100.04,100
1714000007150000000,level,B,99.95,230
1714000007150000000,level,S,100.05,190
1714000007200000000,clear,,,
1714000007200000000,level,B,99.98,50
1714000007200000000,level,S,100.00,70
1714000007200000000,level,B,99.97,250
1714000007200000000,level,S,100.01,320
1714000007200000000,level,B,99.96,130
1714000007200000000,level,S,100.02,200
1714000007200000000,level,B,99.95,90
1714000007200000000,level,S,100.03,30
1714000007200000000,level,B,99.94,310
1714000007200000000,level,S,100.04,210
1714000007250000000,clear,,,
1714000007250000000,level,B,99.99,60
1714000007250000000,level,S,100.01,400
1714000007250000000,level,B,99.98,110
1714000007250000000,level,S,100.02,150
1714000007250000000,level,B,99.97,400
1714000007250000000,level,S,100.03,260
1714000007250000000,level,B,99.96,400
1714000007250000000,level,S,100.04,130
1714000007250000000,level,B,99.95,310
1714000007250000000,level,S,100.05,120
1714000007300000000,trade,B,100.01,70
1714000007350000000,trade,B,100.02,40
1714000007400000000,clear,,,
1714000007400000000,level,B,99.98,210
1714000007400000000,level,S,100.00,80
1714000007400000000,level,B,99.97,250
1714000007400000000,level,S,100.01,390
1714000007400000000,level,B,99.96,300
1714000007400000000,level,S,100.02,360
1714000007400000000,level,B,99.95,200
1714000007400000000,level,S,100.03,270
1714000007400000000,level,B,99.94,200
1714000007400000000,level,S,100.04,380
1714000007450000000,clear,,,
1714000007450000000,level,B,99.99,240
1714000007450000000,level,S,100.01,290
1714000007450000000,level,B,99.98,330
1714000007450000000,level,S,100.02,290
1714000007450000000,level,B,99.97,120
1714000007450000000,level,S,100.03,20
1714000007450000000,level,B,99.96,10
1714000007450000000,level,S,100.04,400
1714000007450000000,level,B,99.95,320
1714000007450000000,level,S,100.05,300
1714000007500000000,clear,,,
1714000007500000000,level,B,100.00,120
1714000007500000000,level,S,100.02,310
1714000007500000000,level,B,99.99,260
1714000007500000000,level,S,100.03,70
1714000007500000000,level,B,99.98,50
1714000007500000000,level,S,100.04,90
1714000007500000000,level,B,99.97,230
1714000007500000000,level,S,100.05,280
1714000007500000000,level,B,99.96,240
1714000007500000000,level,S,100.06,60
1714000007550000000,trade,B,100.03,60
1714000007600000000,trade,B,100.03,70
1714000007650000000,trade,B,100.04,100
1714000007700000000,trade,B,100.03,80
1714000007750000000,clear,,,
1714000007750000000,level,B,99.99,150
1714000007750000000,level,S,100.01,50
1714000007750000000,level,B,99.98,230
1714000007750000000,level,S,100.02,400
1714000007750000000,level,B,99.97,170
1714000007750000000,level,S,100.03,110
1714000007750000000,level,B,99.96,210
1714000007750000000,level,S,100.04,400
1714000007750000000,level,B,99.95,180
1714000007750000000,level,S,100.05,300
1714000007800000000,clear,,,
1714000007800000000,level,B,100.00,140
1714000007800000000,level,S,100.02,380
1714000007800000000,level,B,99.99,170
1714000007800000000,level,S,100.03,400
1714000007800000000,level,B,99.98,330
1714000007800000000,level,S,100.04,160
1714000007800000000,level,B,99.97,210
1714000007800000000,level,S,100.05,240
1714000007800000000,level,B,99.96,30
1714000007800000000,level,S,100.06,130
1714000007850000000,clear,,,
1714000007850000000,level,B,99.99,180
1714000007850000000,level,S,100.01,210
1714000007850000000,level,B,99.98,250
1714000007850000000,level,S,100.02,110
1714000007850000000,level,B,99.97,170
1714000007850000000,level,S,100.03,80
1714000007850000000,level,B,99.96,340
1714000007850000000,level,S,100.04,40
1714000007850000000,level,B,99.95,240
1714000007850000000,level,S,100.05,290
1714000007900000000,trade,B,100.01,70
1714000007950000000,trade,S,99.99,100
1714000008000000000,clear,,,
1714000008000000000,level,B,100.00,60
1714000008000000000,level,S,100.02,290
1714000008000000000,level,B,99.99,150
1714000008000000000,level,S,100.03,120
1714000008000000000,level,B,99.98,400
1714000008000000000,level,S,100.04,40
1714000008000000000,level,B,99.97,190
1714000008000000000,level,S,100.05,340
1714000008000000000,level,B,99.96,170
1714000008000000000,level,S,100.06,200
1714000008050000000,trade,S,100.00,40
1714000008100000000,clear,,,
1714000008100000000,level,B,100.01,270
